Domain,Page URL,Fund Name/Ticker,Record Date,Ex Date,Payble Date,Reinvest Date,Ordinary Income,ST Cap Gains,LT Cap Gains,Total Distribution,Reinvest Nav/Price,Class Name,Income/Amount/Share/Dividend,YEAR,Annual Distribution Rate* (%),Period,Investment Income,Return of Capital,Capital Gains,Rate,Year End NAV
bridgewayfunds.com,https://bridgewayfunds.com/mutual-funds/select-mutual-funds/aggressive-investors-1/,AGGRESSIVE INVESTORS 1 FUND,12/29/1994,12/29/1994,12/29/1994,,$0.0000,$0.0033,$0.0000,$0.0033,$10.66,,,,,,,,,,
www.diamond-hill.com,https://www.diamond-hill.com/mutual-funds/long-only-equities/small-cap-fund/default.fs,,12/29/20,,12/31/20,,,—,—,,,Class I (DHSIX),0.1918,,,,,,,,
www.diamond-hill.com,https://www.diamond-hill.com/mutual-funds/long-only-equities/small-cap-fund/default.fs,,12/27/19,,12/31/19,,,—,—,,,Class I (DHSIX),0.439,,,,,,,,
www.diamond-hill.com,https://www.diamond-hill.com/mutual-funds/long-only-equities/small-cap-fund/default.fs,,11/12/19,,12/13/19,,,—,1.8274,,,Class I (DHSIX),—,,,,,,,,
www.diamond-hill.com,https://www.diamond-hill.com/mutual-funds/long-only-equities/small-cap-fund/default.fs,,12/27/18,,12/31/18,,,—,—,,,Class I (DHSIX),0.0937,,,,,,,,
www.diamond-hill.com,https://www.diamond-hill.com/mutual-funds/long-only-equities/small-cap-fund/default.fs,,12/12/18,,12/14/18,,,—,2.833,,,Class I (DHSIX),—,,,,,,,,
www.diamond-hill.com,https://www.diamond-hill.com/mutual-funds/long-only-equities/small-cap-fund/default.fs,,12/27/17,,12/29/17,,,—,—,,,Class I (DHSIX),0.2479,,,,,,,,
www.diamond-hill.com,https://www.diamond-hill.com/mutual-funds/long-only-equities/small-cap-fund/default.fs,,12/13/17,,12/15/17,,,—,2.2463,,,Class I (DHSIX),—,,,,,,,,
www.diamond-hill.com,https://www.diamond-hill.com/mutual-funds/long-only-equities/small-cap-fund/default.fs,,12/28/16,,12/30/16,,,—,—,,,Class I (DHSIX),0.0748,,,,,,,,
www.diamond-hill.com,https://www.diamond-hill.com/mutual-funds/long-only-equities/small-cap-fund/default.fs,,12/14/16,,12/16/16,,,0.0037,0.855,,,Class I (DHSIX),—,,,,,,,,
www.diamond-hill.com,https://www.diamond-hill.com/mutual-funds/long-only-equities/small-cap-fund/default.fs,,12/29/15,,12/31/15,,,—,—,,,Class I (DHSIX),0.201,,,,,,,,
www.diamond-hill.com,https://www.diamond-hill.com/mutual-funds/long-only-equities/small-cap-fund/default.fs,,12/16/15,,12/18/15,,,0.0357,0.3745,,,Class I (DHSIX),—,,,,,,,,
www.diamond-hill.com,https://www.diamond-hill.com/mutual-funds/long-only-equities/small-cap-fund/default.fs,,12/29/14,,12/31/14,,,—,—,,,Class I (DHSIX),0.0547,,,,,,,,
www.diamond-hill.com,https://www.diamond-hill.com/mutual-funds/long-only-equities/small-cap-fund/default.fs,,12/16/14,,12/18/14,,,0.0402,1.5337,,,Class I (DHSIX),—,,,,,,,,
www.diamond-hill.com,https://www.diamond-hill.com/mutual-funds/long-only-equities/small-cap-fund/default.fs,,12/27/13,,12/31/13,,,—,—,,,Class I (DHSIX),0.1081,,,,,,,,
www.diamond-hill.com,https://www.diamond-hill.com/mutual-funds/long-only-equities/small-cap-fund/default.fs,,12/16/13,,12/18/13,,,—,2.0559,,,Class I (DHSIX),—,,,,,,,,
www.diamond-hill.com,https://www.diamond-hill.com/mutual-funds/long-only-equities/small-cap-fund/default.fs,,12/28/12,,12/31/12,,,0.1354,0.8175,,,Class I (DHSIX),0.154,,,,,,,,
www.diamond-hill.com,https://www.diamond-hill.com/mutual-funds/long-only-equities/small-cap-fund/default.fs,,12/28/11,,12/29/11,,,—,—,,,Class I (DHSIX),0.033,,,,,,,,
www.diamond-hill.com,https://www.diamond-hill.com/mutual-funds/long-only-equities/small-cap-fund/default.fs,,12/14/11,,12/15/11,,,0.0357,0.8484,,,Class I (DHSIX),—,,,,,,,,
www.diamond-hill.com,https://www.diamond-hill.com/mutual-funds/long-only-equities/small-cap-fund/default.fs,,12/29/10,,12/30/10,,,—,—,,,Class I (DHSIX),0,,,,,,,,
www.diamond-hill.com,https://www.diamond-hill.com/mutual-funds/long-only-equities/small-cap-fund/default.fs,,12/15/10,,12/16/10,,,—,0.4062,,,Class I (DHSIX),—,,,,,,,,
www.diamond-hill.com,https://www.diamond-hill.com/mutual-funds/long-only-equities/small-cap-fund/default.fs,,12/29/09,,12/30/09,,,—,—,,,Class I (DHSIX),0.0109,,,,,,,,
www.diamond-hill.com,https://www.diamond-hill.com/mutual-funds/long-only-equities/small-cap-fund/default.fs,,12/29/08,,12/30/08,,,—,—,,,Class I (DHSIX),0.1892,,,,,,,,
www.diamond-hill.com,https://www.diamond-hill.com/mutual-funds/long-only-equities/small-cap-fund/default.fs,,12/15/08,,12/16/08,,,0.0259,—,,,Class I (DHSIX),—,,,,,,,,
www.diamond-hill.com,https://www.diamond-hill.com/mutual-funds/long-only-equities/small-cap-fund/default.fs,,12/27/07,,12/28/07,,,—,—,,,Class I (DHSIX),0.177,,,,,,,,
www.diamond-hill.com,https://www.diamond-hill.com/mutual-funds/long-only-equities/small-cap-fund/default.fs,,11/12/07,,12/12/07,,,0.0087,1.4881,,,Class I (DHSIX),—,,,,,,,,
www.diamond-hill.com,https://www.diamond-hill.com/mutual-funds/long-only-equities/small-cap-fund/default.fs,,12/28/06,,12/29/06,,,—,—,,,Class I (DHSIX),0.187,,,,,,,,
www.diamond-hill.com,https://www.diamond-hill.com/mutual-funds/long-only-equities/small-cap-fund/default.fs,,11/12/06,,12/12/06,,,0.349,0.1743,,,Class I (DHSIX),—,,,,,,,,
www.diamond-hill.com,https://www.diamond-hill.com/mutual-funds/long-only-equities/small-cap-fund/default.fs,,12/29/05,,12/30/05,,,—,—,,,Class I (DHSIX),0.037,,,,,,,,
