Domain,Page URL,Fund Name/Ticker,Record Date,Ex Date,Payble Date,Reinvest Date,Ordinary Income,ST Cap Gains,LT Cap Gains,Total Distribution,Reinvest Nav/Price,Class Name,Income/Amount/Share/Dividend,YEAR,Annual Distribution Rate* (%),Period,Investment Income,Return of Capital,Capital Gains,Rate,Year End NAV
www.needhamfunds.com,https://www.needhamfunds.com/mutual-funds/small-cap-growth-fund/,Small Cap Growth Fund,11/10/20,11/11/20,11/11/20,,$0.00 per share,$3.42980 per share,$0.10150 per share,,,Class I & Class R Shares,,,,,,,,,
www.needhamfunds.com,https://www.needhamfunds.com/mutual-funds/aggressive-growth-fund/,Aggressive Growth Fund,11/10/20,11/11/20,11/11/20,,$0.00 per share,$0.00048 per share,$1.23305 per share,,,Class I & Class R shares,,,,,,,,,
www.needhamfunds.com,https://www.needhamfunds.com/mutual-funds/growth-fund/,Growth Fund,11/10/20,11/11/20,11/11/20,,$0.00 per share,$0.29038 per share,$2.91094 per share,,,Class I & Class R Shares,,,,,,,,,
